local_board_group,households_2022,households_2052,population_2022,population_2052,employment_2022,employment_2052
Albert-Eden,33031,53320,97440,158749,53880,78402
Devonport-Takapuna,21170,29895,57850,77549,37890,52120
Franklin,31581,67889,88710,175511,31010,47643
Henderson-Massey,41279,60910,124940,173837,42597,56318
Hibiscus and Bays,40478,48705,111660,123275,30666,39608
Howick,48294,58467,153150,172989,75110,94489
Kaipatiki,30839,35092,90120,97841,34001,44264
Mangere-Otahuhu,23011,35719,86650,126436,48266,63445
Manurewa,30654,36889,106540,124787,28283,34941
Maungakiekie-Tamaki,29830,47495,84970,141326,99831,132050
Orakei,30689,40961,84380,111950,26323,36299
Otara-Papatoetoe,26074,31588,93000,106648,52628,78686
Papakura,22694,29454,69511,83085,20997,27384
Puketapapa,19053,29696,59880,92369,14478,20208
Rodney,30554,40997,83210,101312,24598,38543
Upper Harbour,22531,37756,69720,107096,56384,83177
Waiheke-Great Barrier,5019,5335,10500,11698,4268,5160
Waitakere Ranges,18529,19987,52910,55337,9078,11801
Waitemata,38232,68178,82920,146185,213115,303779
Whau,29740,36284,87680,105504,30809,40942
Auckland Region forecast totals,573280,814618,1695741,2293485,934212,1289259
