record_id,asset_id,description,site_description,asset_type,asset_group,local_board,planning_area,replacement_value_nzd,criticality_score,coastal_current_eal_nzd,coastal_slr_1m_eal_nzd,liquefaction_overlap_matches,liquefaction_vulnerability,liquefaction_mapped,liquefaction_review_flag,liquefaction_unrecognised_category,coastal_current_exposed,coastal_slr_1m_exposed,screening_flag_count,screening_attention
park-1894,10472-B024-151,Central Toilet and Changing Room - Whlm,Maungatauhoro/Wenderholm Regional Park,Toilet/Changing,Building Level 3,Rodney,Rodney,800000.0,3,0.0,74588.0,1,Damage Possible,True,True,False,False,True,2,Dual-hazard review
park-1703,10530-B001-152,Changing room area,Grahams Beach Road Reserve,Changing Shed,Building Level 3,Franklin,Franklin,650000.0,2,5362.5,60602.75,1,Damage Possible,True,True,False,True,True,2,Dual-hazard review
park-378,21866-B001-152,Changing Room,St Heliers Bay Beach Reserve,Changing Shed,Building Level 3,Orakei,Orakei,650000.0,2,0.0,60602.75,1,Damage Possible,True,True,False,False,True,2,Dual-hazard review
park-792,20605-B001-100,Changing Room-(huia Domain) Bch Front,Huia Domain,Changing Shed,Building Level 3,Waitakere Ranges,Waitakere Ranges,650000.0,2,0.0,60602.75,1,Damage Possible,True,True,False,False,True,2,Dual-hazard review
park-87,10154-B002-152,Changing Rooms - Middle Of Domain,Selwyn Reserve - Mission Bay,Changing Shed,Building Level 3,Orakei,Orakei,650000.0,2,0.0,60602.75,1,Damage Possible,True,True,False,False,True,2,Dual-hazard review
park-129,10340-B001-151,Toilets - T30 (Onehunga Bay),Onehunga Bay Reserve,Public Toilet,Building Level 3,Maungakiekie-Tamaki,Maungakiekie-Tamaki,450000.0,3,41955.75,41955.75,1,Damage Possible,True,True,False,True,True,2,Dual-hazard review
park-133,10401-B001-151,Toilet - H20 (Thomas Bloodworth Park),Thomas Bloodworth Park,Public Toilet,Building Level 3,Orakei,Orakei,450000.0,3,0.0,41955.75,1,Damage Possible,True,True,False,False,True,2,Dual-hazard review
park-1832,10472-B025-151,Glamping Enviro Toilet,Maungatauhoro/Wenderholm Regional Park,Public Toilet,Building Level 3,Rodney,Rodney,450000.0,3,41955.75,41955.75,1,Damage Possible,True,True,False,True,True,2,Dual-hazard review
park-1903,33742-B001-103,Crusing Club Public Toilet,Westhaven Marina North,Public Toilet,Building Level 3,Waitemata,Waitemata,450000.0,3,0.0,41955.75,1,Damage Possible,True,True,False,False,True,2,Dual-hazard review
park-1908,33745-B002-100,Westhaven - (Z Pier)Toilets,Z Pier,Public Toilet,Building Level 3,Waitemata,Waitemata,450000.0,3,0.0,41955.75,1,Damage Possible,True,True,False,False,True,2,Dual-hazard review
park-1944,33743-B003-100,Westhaven - (J Pier) Toilets,Westhaven Marina West,Public Toilet,Building Level 3,Waitemata,Waitemata,450000.0,3,0.0,41955.75,1,Damage Possible,True,True,False,False,True,2,Dual-hazard review
park-1967,11323-B011-151,Toilet - By Playground,Kaipatiki Recreation Reserve,Public Toilet,Building Level 3,Rodney,Rodney,450000.0,3,16278.75,41955.75,1,Damage Possible,True,True,False,True,True,2,Dual-hazard review
park-199,10530-B001-151,Toilet- (Grahams Beach Reserve)- Shower,Grahams Beach Road Reserve,Public Toilet,Building Level 3,Franklin,Franklin,450000.0,3,3712.500000000001,41955.75,1,Damage Possible,True,True,False,True,True,2,Dual-hazard review
park-2005,11274-B032-151,New Toilet-Whangateau Holiday Park,"Whangateau Reserve, Holiday Park & Hall",Public Toilet,Building Level 3,Rodney,Rodney,450000.0,3,0.0,41955.75,1,Damage Possible,True,True,False,False,True,2,Dual-hazard review
park-2019,11274-B031-151,New Toilet-Whangateau Hall Grounds,"Whangateau Reserve, Holiday Park & Hall",Public Toilet,Building Level 3,Rodney,Rodney,450000.0,3,16278.75,41955.75,1,Damage Possible,True,True,False,True,True,2,Dual-hazard review
park-255,10782-B001-151,Eastern Beach Central Toilet (Novaloo),Eastern Beach Playground Park,Public Toilet,Building Level 3,Howick,Howick,450000.0,3,0.0,41955.75,1,Damage Possible,True,True,False,False,True,2,Dual-hazard review
park-259,10791-B003-151,Kawakawa Bay Central Toilet and Chng Blk,Rautawa Place Reserve,Public Toilet,Building Level 3,Franklin,Franklin,450000.0,3,0.0,41955.75,1,Damage Possible,True,True,False,False,True,2,Dual-hazard review
park-292,10480-B009-151,Vault Toilet 10 Behind Woolshed - Tawh,Tawharanui Regional Park,Public Toilet,Building Level 3,Rodney,Rodney,450000.0,3,16278.75,41955.75,1,Damage Possible,True,True,False,True,True,2,Dual-hazard review
park-296,11107-B001-151,Toilet (Little Shoal Bay Reserve),Little Shoal Bay Reserve/Dudding Park,Public Toilet,Building Level 3,Kaipatiki,Kaipatiki,450000.0,3,0.0,41955.75,1,Damage Possible,True,True,False,False,True,2,Dual-hazard review
park-336,11274-B022-100,Toilet-Whangateau Domain,"Whangateau Reserve, Holiday Park & Hall",Public Toilet,Building Level 3,Rodney,Rodney,450000.0,3,0.0,41955.75,1,Damage Possible,True,True,False,False,True,2,Dual-hazard review
park-337,11275-B003-151,Toilet-(Stanmore Bay Recre Res)(Park),Stanmore Bay Park,Public Toilet,Building Level 3,Hibiscus and Bays,Hibiscus and Bays,450000.0,3,0.0,41955.75,1,Damage Possible,True,True,False,False,True,2,Dual-hazard review
park-369,20660-B001-151,Toilet- (Glenbrook Beach Beachfront),Glenbrook Beach Beachfront,Public Toilet,Building Level 3,Franklin,Franklin,450000.0,3,0.0,41955.75,1,Damage Possible,True,True,False,False,True,2,Dual-hazard review
park-372,20935-B001-151,Toilet - Taumanu Reserve,Taumanu Reserve,Public Toilet,Building Level 3,Maungakiekie-Tamaki,Maungakiekie-Tamaki,450000.0,3,0.0,41955.75,1,Damage Possible,True,True,False,False,True,2,Dual-hazard review
park-377,21866-B001-151,Toilet-St Heliers Bay Beach Rserve (H41),St Heliers Bay Beach Reserve,Public Toilet,Building Level 3,Orakei,Orakei,450000.0,3,0.0,41955.75,1,Damage Possible,True,True,False,False,True,2,Dual-hazard review
park-381,21986-B002-151,Toilet-By carpark Sth end of The Parade,Eastern Beach Caravan Park,Public Toilet,Building Level 3,Howick,Howick,450000.0,3,0.0,41955.75,1,Damage Possible,True,True,False,False,True,2,Dual-hazard review
park-391,22420-B001-151,Toilet-(Dacre Historic & Esplanade Res),Dacre Historic & Esplanade Reserve,Public Toilet,Building Level 3,Hibiscus and Bays,Hibiscus and Bays,450000.0,3,0.0,41955.75,1,Damage Possible,True,True,False,False,True,2,Dual-hazard review
park-398,23310-B001-151,Toilet-Waterfront Rd Res-Coronation Rd,Waterfront Road Reserve,Public Toilet,Building Level 3,Mangere-Otahuhu,Mangere-Otahuhu,450000.0,3,0.0,41955.75,1,Damage Possible,True,True,False,False,True,2,Dual-hazard review
park-472,11299-B001-151,Toilet- (Birds Beach Recreation Reserve),Birds Beach Recreation Reserve,Public Toilet,Building Level 3,Rodney,Rodney,450000.0,3,0.0,41955.75,1,Damage Possible,True,True,False,False,True,2,Dual-hazard review
park-488,11275-B002-151,Toilet-(Stanmore Bay Recreation Reserve),Stanmore Bay Park,Public Toilet,Building Level 3,Hibiscus and Bays,Hibiscus and Bays,450000.0,3,0.0,41955.75,1,Damage Possible,True,True,False,False,True,2,Dual-hazard review
park-493,11323-B003-151,Parakai Toilet - 30m NE of Camp Entrance,Kaipatiki Recreation Reserve,Public Toilet,Building Level 3,Rodney,Rodney,450000.0,3,41955.75,41955.75,1,Damage Possible,True,True,False,True,True,2,Dual-hazard review
park-554,21827-B001-151,Toilet-At Rear Of Reserve,Bucklands Beach Toilet Reserve,Public Toilet,Building Level 3,Howick,Howick,450000.0,3,0.0,41955.75,1,Damage Possible,True,True,False,False,True,2,Dual-hazard review
park-589,20119-B004-151,Toilet-100m Before Pakiri Beach Parking,Streetscape - Rodney,Public Toilet,Building Level 3,Rodney,Rodney,450000.0,3,3712.500000000001,41955.75,1,Damage Possible,True,True,False,True,True,2,Dual-hazard review
