record_id,scenario,expected_annual_loss_nzd,events_exposed,OBJECTID,asset_type,asset_group,asset_id,VALIDATIONSTATE,GlobalID,description,SITE,site_description,local_board,STREETNAME,STREETNUMBER,city,replacement_value_nzd,criticality_score,priority_score,risk_band
park-129,baseline,41955.75,4,129,Public Toilet,Building Level 3,10340-B001-151,3,b6ce21ea-c0ce-4013-9b73-abdef03221c0,Toilets - T30 (Onehunga Bay),10340,Onehunga Bay Reserve,Maungakiekie-Tamaki,Beachcroft Avenue,71-91,Auckland Central,450000.0,3,54542.475,Very high
park-135,baseline,41955.75,4,135,Public Toilet,Building Level 3,10443-B002-151,3,ac97a0c6-790d-4133-8a1b-bab27cd3fb3e,Toilet - R1 Rakino,10443,Rakino Island Community Hall & Toilets,Waiheke,South Pacific Road,1,Rakino Island,450000.0,3,54542.475,Very high
park-1832,baseline,41955.75,4,1832,Public Toilet,Building Level 3,10472-B025-151,3,ce9fd006-27aa-464e-898f-1ed57d33cb5a,Glamping Enviro Toilet,10472,Maungatauhoro/Wenderholm Regional Park,Rodney,Schischka Road,37,North shore,450000.0,3,54542.475,Very high
park-1939,baseline,41955.75,4,1939,Public Toilet,Building Level 3,33755-B002-100,3,31b28112-37e1-4012-bd20-f5c2522eb293,Eastern Viaduct Toilets,33755,Viaduct,Waitemata,Quay Street,,Auckland,450000.0,3,54542.475,Very high
park-1974,baseline,41955.75,4,1974,Public Toilet,Building Level 3,24810-B004-151,3,65762b5f-6b1b-4410-bb91-daf9724ac25d,Composting Toilet - South Browns Island,24810,Browns Island (Motukorea) Regional Park,Waiheke,Hauraki Gulf Maritime Pk (Motukorea Is),,AUCKLAND,450000.0,3,54542.475,Very high
park-2009,baseline,41955.75,4,2009,Public Toilet,Building Level 3,21994-B001-151,3,36d0a60e-e9ff-4c81-8e3e-455252028189,Public toilet,21994,Hobsonville Esplanade,Upper Harbour,Buckley Avenue,,Auckland,450000.0,3,54542.475,Very high
park-384,baseline,41955.75,4,384,Public Toilet,Building Level 3,22175-B001-151,3,536ff983-07b5-495b-8358-e899e2a81b33,Toilet-Opposite Wharf,22175,Port Albert Wharf Reserve,Rodney,"Sec 1 SO 70567, Wharf Road",,Auckland,450000.0,3,54542.475,Very high
park-493,baseline,41955.75,4,493,Public Toilet,Building Level 3,11323-B003-151,3,7f91bfd4-9a62-42e0-8b92-0ff0097e712a,Parakai Toilet - 30m NE of Camp Entrance,11323,Kaipatiki Recreation Reserve,Rodney,Parkhurst Road,150,Auckland,450000.0,3,54542.475,Very high
park-498,baseline,41955.75,4,498,Public Toilet,Building Level 3,11369-B001-151,3,79b6fda8-cd5a-4ee0-8d6c-557bbbc4aab0,Toilet-Titirangi Beach,11369,Titirangi Beach,Waitakere Ranges,Titirangi Beach Road,,Waitakere,450000.0,3,54542.475,Very high
park-747,baseline,41955.75,4,747,Public Toilet,Building Level 3,20119-B002-151,3,032bcbbb-00c3-4b6f-96b4-cd8cf77a00ae,Toilet-Scotts Landing Next To Boat Ramp,20119,Streetscape - Rodney,Rodney,Ridge Road,,Auckland,450000.0,3,54542.475,Very high
park-1078,baseline,27970.5,4,1078,Playground - Public Access,Playground Location,22865-L100-230-EXW-001,3,16e43ee4-45a2-4cd8-9be4-2f7a6fb4b09d,PS_Playground,22865,Orua Bay Reserves,Franklin,Orua Bay Beach Road,,Auckland,300000.0,2,32166.074999999997,Moderate
park-1170,baseline,27970.5,4,1170,Playground - Public Access,Playground Location,10791-L100-230-EXW-001,3,9bc1b236-f25c-4c7f-83f8-27cc1ed33e01,PS_Playground,10791,Rautawa Place Reserve,Franklin,Rautawa Place,9R,Franklin,300000.0,2,32166.074999999997,Moderate
park-1218,baseline,27970.5,4,1218,Playground - Public Access,Playground Location,11088-L100-230-EXW-001,3,e6a84c65-0c44-4057-8fde-7fa3a3925893,PS_Playground (Whole)-,11088,Wairoa Road Reserve,Devonport-Takapuna,Narrow Neck,1,Auckland,300000.0,2,32166.074999999997,Moderate
park-1257,baseline,27970.5,4,1257,Playground - Public Access,Playground Location,20554-L100-230-EXW-001,3,eb577770-bbff-4353-9bc0-a6fb5f917a16,PS_Playground Rq693,20554,The Esplanade Blackpool,Waiheke,The Esplanade,,Waiheke Island,300000.0,2,32166.074999999997,Moderate
park-1406,baseline,27970.5,4,1406,Playground - Public Access,Playground Location,11246-L100-230-EXW-001,3,3657f2cc-d824-457f-924a-4937ed5b744e,PS_Playground (Whole) - Foreshore,11246,Shelly Beach Reserve,Rodney,Shelly Beach Road,3,Auckland,300000.0,2,32166.074999999997,Moderate
park-1698,baseline,27970.5,4,1698,Playground - Public Access,Playground Location,22175-L100-230-EXW-002,3,852a2c2f-2507-44dd-a234-79bc8f55fb34,PS_Playground-Boat Sandpit,22175,Port Albert Wharf Reserve,Rodney,"Sec 1 SO 70567, Wharf Road",,Auckland,300000.0,2,32166.074999999997,Moderate
park-1967,baseline,16278.75,3,1967,Public Toilet,Building Level 3,11323-B011-151,3,59289577-f624-44b6-93ff-f394c7346f26,Toilet - By Playground,11323,Kaipatiki Recreation Reserve,Rodney,Parkhurst Road,150,Auckland,450000.0,3,21162.375,Low
park-2019,baseline,16278.75,3,2019,Public Toilet,Building Level 3,11274-B031-151,3,f298cfdc-7cbd-4b55-87ee-dcdf3ec3a815,New Toilet-Whangateau Hall Grounds,11274,"Whangateau Reserve, Holiday Park & Hall",Rodney,Leigh Road,511,Auckland,450000.0,3,21162.375,Low
park-253,baseline,16278.75,3,253,Public Toilet,Building Level 3,10754-B002-151,3,c8501210-ab3a-430d-8de3-d5f2687b8f28,Toilet-Sailing Club(Bramley Drive Res),10754,Bramley Drive Reserve,Howick,Bramley Drive,15R,Auckland,450000.0,3,21162.375,Low
park-292,baseline,16278.75,3,292,Public Toilet,Building Level 3,10480-B009-151,3,2489181d-b9c4-4277-b72f-9cf6826a8668,Vault Toilet 10 Behind Woolshed - Tawh,10480,Tawharanui Regional Park,Rodney,Takatu Road,1181,North Shore,450000.0,3,21162.375,Low
park-556,baseline,16278.75,3,556,Public Toilet,Building Level 3,22237-B002-151,3,fae35927-d8b4-4d01-b292-29d7f0209839,Toilet-At Ferry Terminal,22237,Sandspit Reserve - Rodney,Rodney,Sandspit Road,1429,Auckland,450000.0,3,21162.375,Low
