record_id,asset_id,asset_type,local_board,replacement_value_nzd,description,site_description,asset_group,planning_area,criticality_score,untreated_eal_nzd,treated_eal_nzd,avoided_annual_loss_nzd,modelled_loss_reduction_pct,base_capital_cost_nzd,cost_multiplier,capital_cost_nzd,annual_om_cost_nzd,analysis_years,real_discount_rate,pv_avoided_loss_nzd,pv_om_cost_nzd,pv_lifecycle_cost_nzd,illustrative_npv_nzd,illustrative_bcr,break_even_capex_nzd,discounted_payback_year,payback_status,assumption_set,analysis_status
park-1894,10472-B024-151,Toilet/Changing,Rodney,800000.0,Central Toilet and Changing Room - Whlm,Maungatauhoro/Wenderholm Regional Park,Building Level 3,Rodney,3,74588.0,48482.2,26105.800000000003,0.35000000000000003,160000.0,1.0,160000.0,1600.0,30,0.05,401310.13201759814,24595.92164301255,184595.92164301255,216714.2103745856,2.1739924070136616,347838.7851221858,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-1703,10530-B001-152,Changing Shed,Franklin,650000.0,Changing room area,Grahams Beach Road Reserve,Building Level 3,Franklin,2,60602.75,39391.7875,21210.9625,0.35000000000000003,130000.0,1.0,130000.0,1300.0,30,0.05,326064.4822642985,19984.186334947695,149984.1863349477,176080.29592935077,2.1739924070136616,282619.012911776,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-378,21866-B001-152,Changing Shed,Orakei,650000.0,Changing Room,St Heliers Bay Beach Reserve,Building Level 3,Orakei,2,60602.75,39391.7875,21210.9625,0.35000000000000003,130000.0,1.0,130000.0,1300.0,30,0.05,326064.4822642985,19984.186334947695,149984.1863349477,176080.29592935077,2.1739924070136616,282619.012911776,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-414,10497-B025-152,Changing Shed,Franklin,650000.0,Changing room area,Waharau Regional Park,Building Level 3,Franklin,2,60602.75,39391.7875,21210.9625,0.35000000000000003,130000.0,1.0,130000.0,1300.0,30,0.05,326064.4822642985,19984.186334947695,149984.1863349477,176080.29592935077,2.1739924070136616,282619.012911776,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-792,20605-B001-100,Changing Shed,Waitakere Ranges,650000.0,Changing Room-(huia Domain) Bch Front,Huia Domain,Building Level 3,Waitakere Ranges,2,60602.75,39391.7875,21210.9625,0.35000000000000003,130000.0,1.0,130000.0,1300.0,30,0.05,326064.4822642985,19984.186334947695,149984.1863349477,176080.29592935077,2.1739924070136616,282619.012911776,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-802,10158-B003-153,Changing Shed,Mangere-Otahuhu,650000.0,Change Room,Seaside Park,Building Level 3,Mangere-Otahuhu,2,60602.75,39391.7875,21210.9625,0.35000000000000003,130000.0,1.0,130000.0,1300.0,30,0.05,326064.4822642985,19984.186334947695,149984.1863349477,176080.29592935077,2.1739924070136616,282619.012911776,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-87,10154-B002-152,Changing Shed,Orakei,650000.0,Changing Rooms - Middle Of Domain,Selwyn Reserve - Mission Bay,Building Level 3,Orakei,2,60602.75,39391.7875,21210.9625,0.35000000000000003,130000.0,1.0,130000.0,1300.0,30,0.05,326064.4822642985,19984.186334947695,149984.1863349477,176080.29592935077,2.1739924070136616,282619.012911776,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-106,10321-B001-151,Public Toilet,Albert-Eden,450000.0,Toilet - W32 (Eric Armishaw Park),Eric Armishaw Park,Building Level 3,Albert-Eden,3,41955.75,27271.2375,14684.5125,0.35000000000000003,90000.0,1.0,90000.0,900.0,30,0.05,225736.94925989895,13835.205924194559,103835.20592419455,121901.74333570439,2.1739924070136616,195659.31663122954,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-121,10391-B001-151,Public Toilet,Whau,450000.0,Toilet - W4 Heritage Toilet/change,Blockhouse Bay Beach Reserve,Building Level 3,Whau,3,41955.75,27271.2375,14684.5125,0.35000000000000003,90000.0,1.0,90000.0,900.0,30,0.05,225736.94925989895,13835.205924194559,103835.20592419455,121901.74333570439,2.1739924070136616,195659.31663122954,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
park-122,10391-B003-151,Public Toilet,Whau,450000.0,Toilet - W3 Novaloo (Bhb Beach),Blockhouse Bay Beach Reserve,Building Level 3,Whau,3,41955.75,27271.2375,14684.5125,0.35000000000000003,90000.0,1.0,90000.0,900.0,30,0.05,225736.94925989895,13835.205924194559,103835.20592419455,121901.74333570439,2.1739924070136616,195659.31663122954,9,achieved within horizon,illustrative_generic_treatment_v1,demonstration_only
