scenario,planning_area,portfolio_assets,assets_with_modelled_loss,illustrative_portfolio_value_nzd,expected_annual_loss_nzd,local_board_group,households_2022,households_2052,population_2022,population_2052,employment_2022,employment_2052,households_growth_rate,households_cagr,population_growth_rate,population_cagr,employment_growth_rate,employment_cagr,growth_data_mapped,auckland_population_growth_rate,above_auckland_population_growth,future_population_eal_per_1000_nzd
baseline,Rodney,185,12,157250000.0,308870.25,Rodney,30554.0,40997.0,83210.0,101312.0,24598.0,38543.0,0.34178830922301495,0.009848287773313702,0.21754596803268833,0.006582816496273791,0.5669160094316612,0.01508292846559356,True,0.35249722687603824,False,3048.7035099494633
baseline,Waiheke-Great Barrier,65,4,56750000.0,116697.0,Waiheke-Great Barrier,5019.0,5335.0,10500.0,11698.0,4268.0,5160.0,0.06296074915321781,0.0020373450422213057,0.11409523809523803,0.0036079139040638974,0.20899718837863168,0.006346428644885105,True,0.35249722687603824,False,9975.80783039836
baseline,Franklin,200,6,135050000.0,83091.0,Franklin,31581.0,67889.0,88710.0,175511.0,31010.0,47643.0,1.149678604224059,0.025838791885912427,0.9784804418893023,0.023004927031769595,0.536375362786198,0.014417138116938677,True,0.35249722687603824,True,473.4233181965803
baseline,Maungakiekie-Tamaki,65,2,85100000.0,52808.25,Maungakiekie-Tamaki,29830.0,47495.0,84970.0,141326.0,99831.0,132050.0,0.5921890714046263,0.015624466720387087,0.6632458514769919,0.017103654986858174,0.3227354228646413,0.009366994327007161,True,0.35249722687603824,True,373.6626664591087
baseline,Waitemata,103,2,232200000.0,52808.25,Waitemata,38232.0,68178.0,82920.0,146185.0,213115.0,303779.0,0.7832705586942874,0.019468726974499972,0.7629643029425952,0.01907962193126922,0.42542289374281483,0.01188569806248374,True,0.35249722687603824,True,361.2426035502959
baseline,Upper Harbour,89,1,44550000.0,41955.75,Upper Harbour,22531.0,37756.0,69720.0,107096.0,56384.0,83177.0,0.675735653100173,0.017357326477363877,0.5360872059667241,0.01441079553241309,0.4751879965947787,0.013043853009811146,True,0.35249722687603824,True,391.7583289758721
baseline,Waitakere Ranges,102,1,90950000.0,41955.75,Waitakere Ranges,18529.0,19987.0,52910.0,55337.0,9078.0,11801.0,0.07868746289600081,0.00252802307213984,0.045870345870345774,0.0014960982278675594,0.29995593743115223,0.008782689125468313,True,0.35249722687603824,False,758.1862045286156
baseline,Devonport-Takapuna,81,3,119000000.0,40008.0,Devonport-Takapuna,21170.0,29895.0,57850.0,77549.0,37890.0,52120.0,0.4121398205007085,0.011569958717277284,0.3405185825410544,0.009816419404503618,0.375560833993138,0.010685403046123643,True,0.35249722687603824,False,515.9060722897781
baseline,Howick,124,2,118500000.0,21705.0,Howick,48294.0,58467.0,153150.0,172989.0,75110.0,94489.0,0.21064728537706556,0.006392182122177292,0.1295396669931439,0.004068593524572783,0.25800825455997867,0.00768033428091397,True,0.35249722687603824,False,125.4704056327281
baseline,Hibiscus and Bays,133,2,211600000.0,18075.0,Hibiscus and Bays,40478.0,48705.0,111660.0,123275.0,30666.0,39608.0,0.20324620781659175,0.006186493711298535,0.10402113559018455,0.0033040828956887314,0.291593295506424,0.008565696390487432,True,0.35249722687603824,False,146.6234029608599
