scenario,aep,expected_loss_nzd,p50_loss_nzd,p90_loss_nzd,exposed_assets,exposed_value_nzd
baseline,0.01,8195000.0,8135921.190393701,9582208.241495825,38,14900000.0
baseline,0.02,5040000.0,4998570.423622146,5927494.470415961,33,12600000.0
baseline,0.049,2587500.0,2555606.3140945295,3083661.498315272,27,10350000.0
baseline,0.181,756000.0,743383.822894569,939629.7880585041,16,6300000.0
slr_1m,0.01,49802500.0,49528846.78353308,57970539.09412763,219,90550000.0
slr_1m,0.02,34380000.0,34037969.0927289,39589256.176440954,209,85950000.0
slr_1m,0.049,24737500.0,24493153.191441156,29213076.05442612,207,98950000.0
slr_1m,0.181,10788000.0,10632007.278379766,13041749.487221036,189,89900000.0
slr_1m_mitigated,0.01,32371625.00000001,32201799.057576016,37402740.36616253,219,90550000.0
slr_1m_mitigated,0.02,22347000.0,22193694.894379526,25951610.539608136,209,85950000.0
slr_1m_mitigated,0.049,16079375.0,15910704.330130575,18973054.04425528,207,98950000.0
slr_1m_mitigated,0.181,7012200.0,6903889.0638783015,8434489.333310645,189,89900000.0
